net,length_um
_0196_,4.145µm
net136,4.14µm
_0281_,4.12µm
_0293_,4.12µm
net10,4.12µm
net96,4.12µm
_0217_,4.08µm
_0218_,4.08µm
_0033_,4.05µm
_0213_,4.02µm
_0396_,4.02µm
_0433_,4.02µm
_0060_,4µm
_0179_,4µm
_0270_,4µm
_0288_,4µm
_0418_,4µm
_0462_,4µm
_0524_,4µm
_0562_,4µm
tbck1.sel_bit_out\[3\],4µm
net98,4µm
_0274_,3.88µm
_0404_,3.88µm
_0456_,3.88µm
_0466_,3.88µm
mem1.trellis_diagr\[7\]\[1\],3.88µm
net172,3.88µm
net77,3.78µm
net83,3.78µm
net91,3.78µm
_0123_,3.76µm
_0291_,3.76µm
net109,3.76µm
_0201_,3.705µm
_0043_,3.69µm
_0154_,3.69µm
net69,3.68µm
net121,3.68µm
net170,3.68µm
_0220_,3.66µm
_0234_,3.66µm
_0280_,3.66µm
_0295_,3.66µm
_0397_,3.66µm
net110,3.66µm
_0088_,3.61µm
_0042_,3.59µm
_0104_,3.59µm
net120,3.56µm
_0183_,3.54µm
_0229_,3.54µm
_0366_,3.54µm
_0380_,3.54µm
_0427_,3.54µm
_0474_,3.54µm
net175,3.52µm
_0057_,3.45µm
_0497_,3.435µm
_0526_,3.42µm
net124,3.42µm
net101,3.32µm
_0150_,3.3µm
_0204_,3.3µm
_0212_,3.3µm
_0239_,3.3µm
_0406_,3.22µm
net92,3.22µm
net137,3.22µm
_0297_,3.2µm
_0521_,3.2µm
_0030_,3.15µm
_0038_,3.13µm
_0170_,3.13µm
_0001_,3.1µm
_0520_,3.1µm
_0009_,3.08µm
_0219_,3.08µm
_0228_,3.08µm
_0248_,3.08µm
_0305_,3.08µm
_0391_,3.08µm
_0487_,3.08µm
_0517_,3.08µm
_0203_,3.045µm
_0049_,3.03µm
_0584_,2.98µm
_0034_,2.96µm
_0118_,2.96µm
_0452_,2.96µm
net171,2.96µm
net139,2.86µm
_0051_,2.84µm
_0091_,2.84µm
_0105_,2.84µm
_0106_,2.84µm
_0111_,2.84µm
_0103_,2.77µm
_0388_,2.76µm
net94,2.76µm
_0044_,2.74µm
_0081_,2.74µm
net87,2.74µm
_0107_,2.72µm
_0061_,2.69µm
_0130_,2.69µm
_0089_,2.67µm
_0235_,2.64µm
_0290_,2.64µm
_0498_,2.64µm
net16,2.64µm
_0055_,2.62µm
_0420_,2.62µm
_0454_,2.62µm
_0554_,2.62µm
br1.data_reg\[9\],2.62µm
c1.count\[3\],2.62µm
net9,2.62µm
net68,2.62µm
net128,2.62µm
_0202_,2.585µm
_0165_,2.55µm
net88,2.4µm
net93,2.4µm
_0022_,2.38µm
_0027_,2.38µm
_0037_,2.38µm
_0076_,2.38µm
_0083_,2.38µm
_0109_,2.38µm
_0110_,2.38µm
_0126_,2.38µm
_0176_,2.38µm
_0207_,2.305µm
_0205_,2.3µm
_0300_,2.3µm
_0467_,2.3µm
net76,2.3µm
net80,2.3µm
net99,2.3µm
net100,2.3µm
net106,2.3µm
net108,2.3µm
net119,2.3µm
net140,2.3µm
net143,2.3µm
_0006_,2.28µm
_0188_,2.28µm
_0190_,2.28µm
_0241_,2.28µm
_0302_,2.28µm
net3,2.28µm
net5,2.28µm
net7,2.28µm
net11,2.28µm
net12,2.28µm
net13,2.28µm
_0046_,2.23µm
_0052_,2.23µm
_0070_,2.23µm
_0085_,2.23µm
_0090_,2.23µm
_0092_,2.23µm
_0093_,2.23µm
_0095_,2.23µm
_0097_,2.23µm
_0098_,2.23µm
_0099_,2.23µm
_0102_,2.23µm
_0125_,2.23µm
_0158_,2.23µm
_0161_,2.23µm
_0163_,2.23µm
_0171_,2.23µm
_0084_,2.21µm
_0086_,2.21µm
_0256_,2.18µm
_0309_,2.18µm
_0385_,2.18µm
_0019_,2.16µm
_0059_,2.16µm
_0075_,2.16µm
_0094_,2.16µm
_0182_,2.16µm
_0193_,2.16µm
_0249_,2.16µm
_0286_,2.16µm
_0414_,2.16µm
_0523_,2.16µm
net166,2.16µm
_0064_,2.04µm
_0167_,2.04µm
net125,2.04µm
net127,1.94µm
_0258_,1.84µm
_0537_,1.84µm
net82,1.84µm
net114,1.84µm
net130,1.84µm
net138,1.84µm
net141,1.84µm
net144,1.84µm
net145,1.84µm
net148,1.84µm
net153,1.84µm
net157,1.84µm
_0056_,1.82µm
_0077_,1.82µm
_0079_,1.82µm
